Year,Chemical,Reported Production (MT),Production for Feedstock (MT),Virgin Imports (MT),Used Imports (MT),Virgin Exports (MT),Used Exports (MT),Reported Destruction (MT),AIM Act/AIM Act Consumption (MT),AIM Act/AIM Act Consumption (MTCO2e),Montreal Protocol/MP Consumption (MT),Montreal Protocol/MP Consumption (MTCO2e)
2022,HFC-125,19223.14498,0,23922.51138,25.99637,3071.32493,2.449,48.06682,40049.81198,140174341.9,40026.26461,140091926.1
2022,HFC-134,516.05426,0,5.78208,0,105.20221,0,0,416.63413,458297.543,416.63413,458297.543
2022,HFC-134a,61397.65114,0,7926.21549,20.82816,17237.67738,0,38.78271,52068.2347,74457575.62,52047.40654,74427791.35
2022,HFC-143a,42.77275,0,1952.1029,6.0709,721.73015,0,48.86815,1230.34825,5499656.678,1224.27735,5472519.755
2022,HFC-152,0,0,0,0,0,0,0.13336,-0.13336,-7.06808,-0.13336,-7.06808
2022,HFC-152a,33453.58071,3797.919,5810.9721,0.002,3768.17389,0,3.71436,31694.74756,3930148.697,31694.74556,3930148.449
2022,HFC-227ea,1365.33758,0,489.0535,5.251,1296.97619,175.32205,41.08168,346.26216,1114964.155,516.33321,1662592.936
2022,HFC-23,1049.2561,0,125.557,0,26.4419,0.465,876.66017,103.38085,1530036.58,103.8458537,1536918.635
2022,HFC-236ea,32.6083,0,18.264,0,8.737,0,0,42.1353,57725.361,42.1353,57725.361
2022,HFC-236fa,0,0,303.13579,0,32.88324,0.06804,0.15294,270.03157,2649009.702,270.09961,2649677.174
2022,HFC-245fa,17416.21393,12592.08931,1718.03624,3.332,813.26729,0,4.35572,5727.86985,5899705.946,5724.53785,5896273.986
2022,HFC-32,17761.97621,0,9923.57741,17.69798,987.9159,1.088,17.9298,26696.3179,18020014.58,26679.70792,18008802.85
2022,HFC-365mfc,0,0,1109.7216,0,0.00034,0,0.02981,1109.69145,881095.0113,1109.69145,881095.0113
2022,HFC-41,25.41519,1.567,38.37978,0,15.87563,0,1.809,44.54334,4097.98728,44.54334,4097.98728
2022,HFC-43-10mee,0,0,443.5,0,25.83297,0,0.57553,417.0915,684030.06,417.0915,684030.06
